county,year,unemployment_rate,laborforce_sum,unemployment_sum
BUCHANAN,2003,4.517,130800,5900
BUCHANAN,2004,4.550,130860,5950
BUCHANAN,2005,4.617,134280,6180
BUCHANAN,2006,4.225,135480,5760
BUCHANAN,2007,4.208,133050,5590
BUCHANAN,2008,4.025,134940,5420
BUCHANAN,2009,6.700,134760,9020
BUCHANAN,2010,6.050,136060,8240
BUCHANAN,2011,5.692,134660,7710
BUCHANAN,2012,4.792,132960,6360
BUCHANAN,2013,4.725,134370,6370
BUCHANAN,2014,4.683,137880,6460
BUCHANAN,2015,4.225,136080,5750
BUCHANAN,2016,4.208,133530,5630
BUCHANAN,2017,3.250,131510,4260
BUCHANAN,2018,2.658,133110,3520
BUCHANAN,2019,2.717,135120,3680
BUCHANAN,2020,4.608,130300,6020
BUCHANAN,2021,3.458,131410,4560
BUCHANAN,2022,2.925,131810,3840
BUCHANAN,2023,2.950,131760,3880
BUCHANAN,2024,3.242,131970,4290
BUCHANAN,2025,3.618,123300,4460
BUENA VISTA,2000,2.375,123440,2940
BUENA VISTA,2001,2.658,127470,3400
BUENA VISTA,2002,3.217,127350,4110
BUENA VISTA,2003,3.608,124990,4500
BUENA VISTA,2004,3.950,124300,4900
BUENA VISTA,2005,3.875,123650,4760
BUENA VISTA,2006,3.275,126430,4130
BUENA VISTA,2007,3.167,125280,4000
BUENA VISTA,2008,3.533,128350,4560
BUENA VISTA,2009,5.325,129260,6870
BUENA VISTA,2010,4.783,136920,6570
BUENA VISTA,2011,4.558,136730,6240
BUENA VISTA,2012,4.142,135380,5610
BUENA VISTA,2013,3.958,136090,5380
BUENA VISTA,2014,3.992,138060,5520
BUENA VISTA,2015,3.617,139320,5070
BUENA VISTA,2016,3.675,131830,4840
BUENA VISTA,2017,2.725,132420,3600
BUENA VISTA,2018,2.242,133070,2990
BUENA VISTA,2019,2.158,135750,2930
BUENA VISTA,2020,3.783,133240,4990
BUENA VISTA,2021,3.083,132320,4070
BUENA VISTA,2022,2.533,136170,3460
BUENA VISTA,2023,2.492,137950,3420
BUENA VISTA,2024,2.617,134110,3490
BUENA VISTA,2025,2.964,124710,3700
BUTLER,2000,3.233,96120,3120
BUTLER,2001,4.408,99090,4350
BUTLER,2002,4.558,98850,4530
BUTLER,2003,5.017,97430,4890
BUTLER,2004,4.600,97250,4490
BUTLER,2005,4.833,97480,4720
BUTLER,2006,4.083,99350,4050
BUTLER,2007,4.025,99610,4000
BUTLER,2008,4.567,102620,4670
BUTLER,2009,6.642,102010,6810
BUTLER,2010,6.142,98310,6030
BUTLER,2011,5.075,98550,5010
BUTLER,2012,4.492,99040,4460
BUTLER,2013,4.533,99430,4490
BUTLER,2014,4.242,100750,4280
BUTLER,2015,4.342,99580,4350
BUTLER,2016,4.633,89390,4130
BUTLER,2017,3.800,87440,3310
BUTLER,2018,2.967,87560,2590
BUTLER,2019,3.308,88720,2910
BUTLER,2020,4.833,85270,4130
BUTLER,2021,3.625,87570,3180
BUTLER,2022,3.050,91010,2780
BUTLER,2023,3.258,90500,2960
BUTLER,2024,3.333,88960,3000
BUTLER,2025,4.036,82460,3340
CALHOUN,2000,2.808,64270,1820
CALHOUN,2001,3.308,63930,2110
CALHOUN,2002,3.625,63000,2290
CALHOUN,2003,4.208,61590,2590
CALHOUN,2004,4.225,61570,2590
CALHOUN,2005,4.033,61960,2490
CALHOUN,2006,3.358,63370,2140
CALHOUN,2007,3.267,62920,2070
CALHOUN,2008,3.433,63800,2190
CALHOUN,2009,5.217,63240,3300
CALHOUN,2010,6.092,55810,3410
CALHOUN,2011,5.750,54380,3130
CALHOUN,2012,5.483,53390,2910
CALHOUN,2013,5.183,52490,2720
CALHOUN,2014,4.858,53180,2580
CALHOUN,2015,4.283,53590,2310
CALHOUN,2016,3.442,57640,1990
CALHOUN,2017,2.767,54800,1500
CALHOUN,2018,2.308,55150,1270
CALHOUN,2019,2.242,54980,1240
CALHOUN,2020,3.667,51930,1900
CALHOUN,2021,3.333,52110,1750
CALHOUN,2022,2.408,52800,1270
CALHOUN,2023,2.467,52730,1290
CALHOUN,2024,2.567,53440,1380
CALHOUN,2025,3.209,50220,1610
CARROLL,2000,2.258,143730,3260
CARROLL,2001,2.550,147700,3780
CARROLL,2002,2.925,146910,4310
CARROLL,2003,2.842,147240,4180
CARROLL,2004,2.925,147820,4320
CARROLL,2005,3.017,147540,4460
CARROLL,2006,2.600,149460,3890
CARROLL,2007,2.642,147610,3890
CARROLL,2008,2.808,149110,4200
CARROLL,2009,4.267,148540,6350
CARROLL,2010,4.367,140380,6140
CARROLL,2011,4.075,140020,5720
CARROLL,2012,3.733,136690,5090
CARROLL,2013,3.358,135640,4550
CARROLL,2014,3.167,135010,4310
CARROLL,2015,2.608,135980,3540
CARROLL,2016,2.492,141560,3500
CARROLL,2017,2.217,138340,3050
CARROLL,2018,1.867,136350,2560
CARROLL,2019,1.842,138310,2560
CARROLL,2020,3.767,131220,4960
CARROLL,2021,2.750,132000,3630
CARROLL,2022,2.000,133380,2690
CARROLL,2023,2.250,131830,2990
CARROLL,2024,2.117,131610,2780
CARROLL,2025,2.545,122030,3140
CASS,2000,3.617,94810,3450
CASS,2001,3.967,94760,3760
CASS,2002,4.542,92440,4200
CASS,2003,5.033,90550,4560
CASS,2004,4.842,89480,4330
CASS,2005,4.658,91730,4270
CASS,2006,4.233,92010,3890
CASS,2007,4.158,91710,3800
CASS,2008,4.542,91810,4170
CASS,2009,6.833,92040,6300
CASS,2010,6.350,88820,5630
CASS,2011,5.992,87890,5290
CASS,2012,5.150,86710,4470
CASS,2013,5.067,87740,4440
CASS,2014,4.350,88780,3860
CASS,2015,3.592,89690,3250
CASS,2016,3.325,87620,2950
CASS,2017,3.708,85590,3170
CASS,2018,2.792,85210,2380
CASS,2019,2.867,82980,2370
CASS,2020,4.033,79870,3240
CASS,2021,3.525,80160,2840
CASS,2022,2.692,80860,2210
CASS,2023,2.750,82630,2260
CASS,2024,2.733,81890,2230
CASS,2025,3.282,75920,2470
CEDAR,2000,2.275,124720,2850
CEDAR,2001,2.825,128150,3620
CEDAR,2002,3.567,126960,4520
CEDAR,2003,3.767,125210,4720
CEDAR,2004,4.025,124770,5000
CEDAR,2005,3.792,127250,4830
CEDAR,2006,3.225,129770,4180
CEDAR,2007,3.250,131470,4290
CEDAR,2008,3.608,136740,4930
CEDAR,2009,5.642,137420,7760
CEDAR,2010,5.442,131720,7180
CEDAR,2011,5.208,131150,6840
CEDAR,2012,4.533,128560,5820
CEDAR,2013,4.300,130120,5610
CEDAR,2014,3.867,131390,5100
CEDAR,2015,3.408,132150,4520
CEDAR,2016,3.492,123870,4330
CEDAR,2017,3.050,122880,3760
CEDAR,2018,2.625,123150,3230
CEDAR,2019,2.533,124150,3130
CEDAR,2020,4.517,117470,5300
CEDAR,2021,3.608,117510,4250
CEDAR,2022,2.867,118670,3400
CEDAR,2023,3.042,119470,3630
CEDAR,2024,2.975,120670,3600
CEDAR,2025,3.391,112490,3810
CERRO GORDO,2000,2.917,303190,8870
CERRO GORDO,2001,3.450,300480,10400
CERRO GORDO,2002,4.142,306630,12710
CERRO GORDO,2003,4.250,306840,13040
CERRO GORDO,2004,4.383,308880,13570
CERRO GORDO,2005,4.408,314010,13830
